code,ident,name,type,length_ft,width_ft,surface,le_elevation_ft
BR,SNHA,Tertuliano Guedes de Pinho Airport,small_airport,4993,98,CON,199
BR,SNLN,Linhares Municipal Airport,medium_airport,6102,148,ASPH,138
BR,SNPA,Pará de Minas Airport,small_airport,4134,75,ASPH,2640
BR,SNRZ,Oliveira Airport,small_airport,3887,82,ASPH,3320
BR,SNSM,Salinópolis Airport,small_airport,6102,82,ASPH,89
BR,SNVB,Valença Airport,small_airport,5906,98,ASPH,16
BR,SNZR,Pedro Rabelo de Souza Airport,small_airport,4921,98,ASPH,2395
BR,SSBL,Blumenau Airport,small_airport,4590,98,ASPH,48
BR,SSDO,Dourados Airport,small_airport,6398,98,ASPH,1494
BR,SSNM,Guarantã Airport,small_airport,3937,59,GVL,962
BR,SSPB,Juvenal Loureiro Cardoso Airport,small_airport,5318,98,ASPH,2694
BR,SSTL,Plínio Alarcom Airport,small_airport,6562,98,ASPH,1067
BR,SSUM,Orlando de Carvalho Airport,small_airport,4692,98,ASPH,1535
BR,SWHP,Frederico Carlos Müller Airport,small_airport,5208,60,ASPH,1504
BR,SWKQ,Serra da Capivara Airport,small_airport,5413,148,ASPH,1361
BR,SWNV,Aeródromo Nacional de Aviação,small_airport,3609,66,ASPH,2733
BR,SWVB,Vila Bela da Santíssima Trindade Airport,small_airport,5250,92,GRE,658
BR,SWVW,Furnaspark Resort Airport,small_airport,2620,46,ASPH,2567
BR,SWVX,Fazenda Guariba Airstrip,small_airport,3377,75,GVL,493
BR,SWWH,Fazenda Marca Salto Airstrip,small_airport,3350,148,GRS,1164
CL,CL-0015,Nuevo Chaitén Airport,medium_airport,3937,98,ASPH,72
CL,CL-0017,Peldehue Aerodrome,small_airport,4920,100,ASPH,2198
CL,SCAR,Chacalluta Airport,medium_airport,7119,148,ASPH,123
CL,SCAT,Desierto de Atacama Airport,medium_airport,7218,148,ASPH,620
CL,SCBA,Balmaceda Airport,medium_airport,8205,148,ASPH,1722
CL,SCCF,El Loa Airport,medium_airport,9974,148,ASPH,7424
CL,SCCH,Gral. Bernardo O´Higgins Airport,medium_airport,5740,98,ASPH,499
CL,SCCI,President Carlos Ibañez del Campo International Airport,medium_airport,5504,148,ASPH,122
CL,SCCY,Teniente Vidal Airport,medium_airport,5072,98,ASPH,1020
CL,SCDA,Diego Aracena Airport,medium_airport,10991,148,ASPH,97
CL,SCEL,Comodoro Arturo Merino Benítez International Airport,large_airport,12303,148,ASPH,1551
CL,SCER,Quintero Airport,small_airport,3937,164,CON,12
CL,SCFA,Andrés Sabella Gálvez International Airport,medium_airport,9186,164,ASPH,352
CL,SCFM,Captain Fuentes Martinez Airport,medium_airport,8202,98,ASPH,61
CL,SCGE,María Dolores Airport,small_airport,5577,98,ASPH,363
CL,SCGZ,Guardiamarina Zañartu Airport,medium_airport,4724,95,ASPH,88
CL,SCIE,Carriel Sur Airport,medium_airport,8530,148,ASPH,26
CL,SCIP,Mataveri Airport,medium_airport,10827,148,ASPH,127
CL,SCJO,Cañal Bajo Carlos - Hott Siebert Airport,medium_airport,6398,118,ASPH,190
CL,SCPQ,Mocopulli Airport,small_airport,6562,148,ASPH,510
CL,SCQP,La Araucanía Airport,medium_airport,8005,148,ASPH,315
CL,SCRD,Rodelillo Airport,small_airport,2789,66,ASPH,1100
CL,SCSB,Franco Bianco Airport,small_airport,3937,98,GRE,106
CL,SCSE,La Florida Airport,medium_airport,6358,148,ASPH,436
CL,SCSN,Santo Domingo Airport,small_airport,2625,59,ASPH,234
CL,SCTB,Eulogio Sánchez Airport,small_airport,3280,98,ASPH,2129
CL,SCTC,Maquehue Airport,medium_airport,5577,147,ASPH,284
CL,SCTE,El Tepual Airport,medium_airport,8694,148,CON,264
CL,SCVD,Pichoy Airport,medium_airport,6870,148,ASPH,59
CL,SCVM,Viña del Mar Airport,medium_airport,5760,98,ASPH,461
CO,CO-0054,Ríohacha Highway Strip,small_airport,8268,66,ASPH,25
CO,EEB,El Espino Airport,small_airport,2707,33,ASPH,7107
CO,SKAP,Gomez Nino Apiay Air Base,medium_airport,8204,164,ASPH,1241
CO,SKAR,El Eden Airport,medium_airport,7045,118,ASPH,3968
CO,SKBG,Palonegro Airport,medium_airport,7381,131,ASPH,3902
CO,SKBO,El Dorado International Airport,large_airport,12467,148,ASPH,8350
CO,SKBQ,Ernesto Cortissoz International Airport,medium_airport,9842,148,CON,98
CO,SKBU,Gerardo Tobar López Airport,medium_airport,3945,76,ASPH,40
CO,SKCC,Camilo Daza International Airport,medium_airport,6341,148,ASPH,1046
CO,SKCG,Rafael Nuñez International Airport,medium_airport,8530,148,ASPH,7
CO,SKCL,Alfonso Bonilla Aragon International Airport,medium_airport,9842,148,ASPH,3153
CO,SKCO,La Florida Airport,medium_airport,5249,90,ASPH,10
CO,SKEJ,Yariguíes Airport,medium_airport,5905,148,ASPH,401
CO,SKFL,Gustavo Artunduaga Paredes Airport,medium_airport,4921,98,ASPH,797
CO,SKGI,Santiago Vila Airport,medium_airport,5249,92,ASPH,899
CO,SKGO,Santa Ana Airport,medium_airport,6644,131,ASPH,2977
CO,SKGP,Juan Casiano Airport,medium_airport,4256,66,ASPH,164
CO,SKIB,Perales Airport,medium_airport,5905,98,ASPH,3044
CO,SKIP,San Luis Airport,medium_airport,5774,92,ASPH,9723
CO,SKLC,Antonio Roldán Betancur Airport,medium_airport,7153,98,ASPH,39
CO,SKLT,Alfredo Vásquez Cobo International Airport,medium_airport,6168,131,ASPH,314
CO,SKMD,Enrique Olaya Herrera Airport,medium_airport,8202,125,ASPH,4915
CO,SKML,Montelibano Airport,small_airport,3560,82,ASPH,160
CO,SKMR,Los Garzones Airport,medium_airport,7539,150,ASPH,20
